2,Napoleon,Gauntley,Novaya Mayna,Russia,5,289
4,Ivette,Clashe,Seymchan,Russia,6,892
5,Mavis,Atthowe,Roshal’,Russia,4,293
6,Ingar,Possek,Köln,Germany,10,604
7,Morganica,Winter,Uryupinsk,Russia,8,647
8,Ethelda,Kibblewhite,Essen,Germany,8,714
9,Nat,McTague,Murom,Russia,8,755
10,Tomkin,Steketee,Nerekhta,Russia,5,188
11,Perkin,Riding,Troitskoye,Russia,1,599
12,Cammie,Adney,Kamenka,Russia,9,314
13,Laura,Kennifeck,Kamyshevatskaya,Russia,1,748
14,Daisy,Divill,Zvëzdnyy,Russia,9,601
15,Nickolas,Thiolier,Perelyub,Russia,9,199
16,Taite,D'orsay,Uzlovaya,Russia,7,172
17,Jae,Carrel,Yeniköy,Turkey,1,578
18,Rudd,Frostdicke,Yëlkino,Russia,10,422
19,Sauncho,Menauteau,Kuloy,Russia,8,395
20,Rivy,Barnwall,Orekhovo-Zuyevo,Russia,9,482
21,Archibold,Loveredge,Shushenskoye,Russia,9,500
22,Maximilien,Cornelius,Staromyshastovskaya,Russia,1,477
23,Jasun,L'Amie,Gus’-Khrustal’nyy,Russia,6,325
24,Carine,Charles,Uva,Russia,1,134
25,Matias,Pelz,Spokoynaya,Russia,10,197
26,Alejoa,Djakovic,Ostankinskiy,Russia,3,784
27,Romeo,Jaffra,Yablochnyy,Russia,2,782
28,Etty,Janny,Uzlovaya,Russia,6,691
29,Dru,Kohtler,Il’inskiy,Russia,4,352
30,Hamilton,Cashin,Gornyye Klyuchi,Russia,6,896
31,Rafaellle,Sharpous,Kirzhach,Russia,1,949
32,Ellynn,Orrice,Heilbronn,Germany,10,139
33,Algernon,Breeze,Imeni Tsyurupy,Russia,10,430
34,Kendricks,Iacobo,Kholbon,Russia,8,206
35,Abramo,Izhakov,Sokol,Russia,9,288
36,Ebenezer,Bassilashvili,Pochinki,Russia,1,233
37,Gustave,Rosario,Livadiya,Russia,4,550
38,Graham,Locket,Nizhniy Novgorod,Russia,1,233
39,Murielle,Dyas,Magan,Russia,3,452
40,Farleigh,Letixier,Novokuz’minki,Russia,5,622
41,Zachariah,Gair,Sasovo,Russia,2,483
42,Crawford,Goodwins,Izobil’nyy,Russia,3,188
43,Tait,Slowgrove,Ryazan’,Russia,8,202
44,Nixie,Bunney,Zheleznogorsk,Russia,1,335
45,Kakalina,Fallen,Vsevolozhsk,Russia,4,285
46,Trudie,Atwool,Tarasovskiy,Russia,6,281
47,Sarena,Patterson,Suzdal’,Russia,3,631
48,Nerta,True,Misheronskiy,Russia,4,856
49,Collete,Garaway,Blagodarnyy,Russia,9,506
50,Gerhardt,Rolfo,Shalazhi,Russia,2,904
51,Trace,Abeles,Bogandinskiy,Russia,7,195
52,Honoria,Torvey,Ust’-Ulagan,Russia,7,752
53,Vernice,Ollington,Turki,Russia,10,781
54,Rosette,Eudall,Akademgorodok,Russia,4,961
55,Itch,Keener,Kodinsk,Russia,10,657
56,Jori,Stiell,Otradnaya,Russia,5,972
57,Christan,Tallman,Shahrisabz Shahri,Uzbekistan,4,474
58,Heda,Weatherhill,Vladimirskaya,Russia,6,433
59,Naoma,Shirrell,Mostovskoy,Russia,3,253
60,Maye,Arangy,Murmansk,Russia,6,237
61,Marita,Hammerberg,Saraktash,Russia,8,129
62,Bobinette,Dudney,Kadyy,Russia,1,945
63,Lodovico,Gammons,Gurbuki,Russia,8,890
64,Tabb,Greated,Shirokaya Rechka,Russia,9,270
65,Sherrie,Nevinson,Kosh-Agach,Russia,5,499
66,Omero,Bogaert,Volokolamsk,Russia,9,926
67,Antony,Haldane,Yelizovo,Russia,1,662
68,Tersina,Bridgewater,Svetlyy Yar,Russia,1,588
69,Hubey,Gerleit,Sinegor'ye,Russia,9,803
70,Hermine,Proud,Egvekinot,Russia,10,604
71,Lurleen,Woakes,Novorozhdestvenskaya,Russia,4,537
72,Theo,Jime,Zyablikovo,Russia,6,606
73,Geri,Bending,Il’inskiy,Russia,3,204
74,Katerine,Mesias,Chernyakhovsk,Russia,7,899
75,Melanie,Shovell,Dmitriyevka,Russia,6,342
76,Doe,Hastwell,Dashtobod,Uzbekistan,1,352
77,Marcelle,Cherm,Bershet’,Russia,7,561
78,Grata,Robyns,Novonukutskiy,Russia,7,595
79,Julieta,Gladeche,Lesozavodsk,Russia,1,236
80,Trixie,Paramor,Peski,Russia,7,298
81,Graeme,Deener,Kattaqo’rg’on,Uzbekistan,3,674
82,Hedda,Gaskill,Troitsk,Russia,6,901
83,Deina,Stoad,Krasnaya Polyana,Russia,7,829
84,Pen,Bridal,Namangan,Uzbekistan,3,890
85,Townie,Thornally,Khvatovka,Russia,7,374
86,Leta,Runsey,Navashino,Russia,3,502
87,Juanita,Peake,Spas-Klepiki,Russia,8,659
88,Lilian,Fencott,Bochum,Germany,8,777
89,Earl,Kellett,Gadzhiyevo,Russia,3,700
90,Remus,Bausor,Michurinskoye,Russia,8,317
91,Dilan,Pelfer,Verkhnevilyuysk,Russia,6,309
92,Avivah,Rye,Rostock,Germany,6,652
93,Sadye,Rau,Mikhaylovsk,Russia,8,334
94,Jard,Spadelli,Lipin Bor,Russia,7,173
95,Shannen,Caddock,Belogorsk,Russia,6,152
96,Maxwell,Freear,Novaya Chigla,Russia,8,559
97,Honor,Dimsdale,Kaduy,Russia,9,303
98,Robenia,Botright,Kurumkan,Russia,10,848
99,Powell,Braybrook,Kushelevka,Russia,2,658
100,Duke,Skinn,Mikun’,Russia,4,294
3,islombek,Renshall,Uva,Russia,9,464
